count,brojPu,nazivPu,adresa,mjesto,grad,nazivZupanije,latitude,longitude
1016,10010,Zagreb-Sloboština,V. Varićaka 13,ZAGREB,ZAGREB,GRAD ZAGREB,45.765122904460696,15.987837550926201
1016,10040,Zagreb-Dubrava,Dubrava 53,ZAGREB,ZAGREB,GRAD ZAGREB,45.830303895313854,16.05436184232792
1016,10090,Zagreb-Susedgrad,Ilica 508,ZAGREB,ZAGREB,GRAD ZAGREB,45.812959937757995,15.90231760978702
1016,10103,Zagreb,Basaričekova 11,ZAGREB,ZAGREB,GRAD ZAGREB,45.8176640563405,15.974024291401633
1016,10104,Zagreb,Hrgovići 55,ZAGREB,ZAGREB,GRAD ZAGREB,45.7869065,15.9294515
1016,10108,Zagreb,Kraljevićeva  28,ZAGREB,ZAGREB,GRAD ZAGREB,45.81439020530419,16.019508609786953
1016,10111,Zagreb,Ulica Ante Topića Mimare 39A,ZAGREB,ZAGREB,GRAD ZAGREB,45.80835139625999,15.898389477104274
1016,10112,Zagreb,Nova Ves 57,ZAGREB,ZAGREB,GRAD ZAGREB,45.82456645835461,15.978667897253672
1016,10116,Zagreb,Ulica grada Vukovara 86,ZAGREB,ZAGREB,GRAD ZAGREB,45.7999551609556,15.98152698578474
1016,10120,Zagreb,Črnomerec 1,ZAGREB,ZAGREB,GRAD ZAGREB,45.81499601364369,15.935408449668102
1016,10121,Zagreb,J. Laurenčića 8 C,ZAGREB,ZAGREB,GRAD ZAGREB,45.79350017455973,16.004990489024294
1016,10124,Zagreb,Albaharijeva 7,ZAGREB,ZAGREB,GRAD ZAGREB,45.79108550493905 ,15.950700044631958 
1016,10128,Zagreb,"TC Garden Mall, Rudolfa Kolaka 14",ZAGREB,ZAGREB,GRAD ZAGREB,45.83688278203131,16.04631605520251
1016,10129,Zagreb,Meštrovićev trg bb,ZAGREB,ZAGREB,GRAD ZAGREB,45.7796667 ,15.9961000  
1016,10132,Zagreb,"City Centar One Zagreb East, Slavonska avenija 11D",ZAGREB,ZAGREB,GRAD ZAGREB,45.80235470785361,16.050209032782504
1016,10133,Zagreb,Meksička bb,ZAGREB,ZAGREB,GRAD ZAGREB,45.81503568556404,15.873901465502058
1016,10134,Zagreb,"TC Prečko, Slavenskog 1",ZAGREB,ZAGREB,GRAD ZAGREB,45.79572507871453,15.900497972668632
1016,10141,Zagreb,Vile Velebita 6,ZAGREB,ZAGREB,GRAD ZAGREB,45.834809287759086,16.058086290282403
1016,10147,Zagreb,Trg I. Kukuljevića 5,ZAGREB,ZAGREB,GRAD ZAGREB,45.8048167 ,15.8955333 
1016,10148,Zagreb,Maksimirska 286,ZAGREB,ZAGREB,GRAD ZAGREB,45.824410786129846,16.038761842327858
1016,10150,Zagreb-Zračna luka,Rudolfa Fizira 1,VELIKA GORICA,VELIKA GORICA,ZAGREBAČKA,45.739847237433715,16.06633211914061
1016,10158,Zagreb,"TC City Centar One Zagreb West, Jankomir 33",ZAGREB,ZAGREB,GRAD ZAGREB,45.79849648482644,15.885182747668523 
1016,10166,Zagreb,Brežovanka 2 A,ZAGREB,ZAGREB,GRAD ZAGREB,45.87691104924007,16.015055719643442
1016,10168,Zagreb,Šestinski trg 10,ZAGREB,ZAGREB,GRAD ZAGREB,45.853437244078,15.950799241733534
1016,10172,Zagreb,Podsusedski trg 14 B,ZAGREB,ZAGREB,GRAD ZAGREB,45.817394740386845,15.832877433204657
1016,10174,Zagreb,"TC Super Konzum Dubec, Avenija Dubrava 241, Zagreb",ZAGREB,ZAGREB,GRAD ZAGREB,45.828048218180676,16.07969379908934
1016,10250,Lučko,Puškarićeva 15,LUČKO,LUČKO,GRAD ZAGREB,45.76065069442521,15.88661284788509
1016,10251,Hrvatski Leskovac,Trg Hrvatskih branitelja Domovinskog rata 1,HRVATSKI LESKOVAC,HRVATSKI LESKOVAC,GRAD ZAGREB,45.74404319825928,15.889208401852442
1016,10252,Kupinečki Kraljevec,Kraljevečki Brijegi 69,KUPINEČKI KRALJEVEC,KUPINEČKI KRALJEVEC,GRAD ZAGREB,45.6712000 ,15.8724000 
1016,10253,Donji Dragonožec,Turopoljska cesta 12,DONJI DRAGONOŽEC,DONJI DRAGONOŽEC,GRAD ZAGREB,45.6643833 ,15.9452000 
